balls_faced,runs_scored,dismissals,strike_rate,batting_avg,balls_bowled,runs_conceded,wickets,economy,bowling_avg,player_name
27.0,25.0,3.0,92.5925925925926,8.333333333333334,,,,8.0,30.0,VV Morea
302.0,351.0,21.0,116.22516556291392,16.714285714285715,78.0,129.0,3.0,9.923076923076923,43.0,Vikramjit Singh
10.0,4.0,1.0,40.0,4.0,18.0,28.0,2.0,9.333333333333334,14.0,Vishil Patel
10.0,6.0,0.0,60.0,6.0,150.0,154.0,10.0,6.16,15.4,Vraj Patel
593.0,702.0,30.0,118.38111298482295,23.4,34.0,50.0,2.0,8.823529411764707,25.0,W Barresi
967.0,1118.0,53.0,115.6153050672182,21.09433962264151,372.0,442.0,14.0,7.129032258064516,31.571428571428573,W Madhevere
21.0,24.0,1.0,114.28571428571428,24.0,,,,8.0,30.0,W McClintock
,,,120.0,25.0,138.0,149.0,6.0,6.478260869565217,24.833333333333332,W O'Rourke
338.0,344.0,19.0,101.77514792899409,18.105263157894736,,,,8.0,30.0,WA Young
49.0,45.0,3.0,91.83673469387756,15.0,612.0,638.0,37.0,6.254901960784315,17.243243243243242,WB Rankin
152.0,129.0,9.0,84.86842105263158,14.333333333333334,825.0,1140.0,46.0,8.290909090909091,24.782608695652176,WD Parnell
283.0,387.0,22.0,136.74911660777386,17.59090909090909,42.0,75.0,1.0,10.714285714285715,75.0,WG Jacks
389.0,364.0,34.0,93.573264781491,10.705882352941176,,,,8.0,30.0,WIA Fernando
10.0,16.0,2.0,160.0,8.0,,,,8.0,30.0,WJ Lubbe
215.0,203.0,23.0,94.41860465116278,8.826086956521738,874.0,1050.0,39.0,7.2082379862700225,26.923076923076923,WP Masakadza
6.0,3.0,2.0,50.0,1.5,90.0,104.0,5.0,6.933333333333333,20.8,WT Gavera
,,,120.0,25.0,18.0,35.0,1.0,11.666666666666666,35.0,WT Mashinge
,,,120.0,25.0,72.0,58.0,3.0,4.833333333333334,19.333333333333332,WT Mubayiwa
513.0,559.0,27.0,108.96686159844056,20.703703703703702,,,,8.0,30.0,WTS Porterfield
218.0,281.0,16.0,128.89908256880733,17.5625,,,,8.0,30.0,WU Tharanga
83.0,100.0,9.0,120.48192771084338,11.11111111111111,626.0,848.0,36.0,8.12779552715655,23.555555555555557,Wahab Riaz
61.0,53.0,3.0,86.88524590163934,17.666666666666668,120.0,145.0,6.0,7.25,24.166666666666668,Waheed Ahmed
167.0,134.0,11.0,80.23952095808383,12.181818181818182,50.0,78.0,0.0,9.36,78.0,Waqas Barkat
46.0,43.0,1.0,93.47826086956522,43.0,,,,8.0,30.0,Waqas Khan
,,,120.0,25.0,11.0,21.0,2.0,11.454545454545455,10.5,Waqas Maqsood
693.0,1045.0,30.0,150.79365079365078,34.833333333333336,58.0,109.0,2.0,11.275862068965518,54.5,Waseem Muhammad
158.0,193.0,12.0,122.15189873417722,16.083333333333332,906.0,1008.0,49.0,6.675496688741721,20.571428571428573,Washington Sundar
10.0,5.0,2.0,50.0,2.5,142.0,161.0,11.0,6.802816901408451,14.636363636363637,XC Bartlett
17.0,18.0,1.0,105.88235294117648,18.0,228.0,296.0,10.0,7.7894736842105265,29.6,XJ Doherty
4.0,3.0,1.0,75.0,3.0,36.0,43.0,1.0,7.166666666666666,43.0,Y Cariah
397.0,635.0,19.0,159.94962216624685,33.421052631578945,6.0,11.0,0.0,11.0,11.0,YBK Jaiswal
,,,120.0,25.0,6.0,9.0,0.0,9.0,9.0,YK Pathan
12.0,5.0,2.0,41.66666666666667,2.5,1764.0,2369.0,98.0,8.0578231292517,24.1734693877551,YS Chahal
53.0,57.0,3.0,107.54716981132076,19.0,,,,8.0,30.0,YS Samra
159.0,152.0,13.0,95.59748427672956,11.692307692307692,270.0,316.0,13.0,7.022222222222222,24.307692307692307,Yasim Murtaza
83.0,120.0,7.0,144.57831325301206,17.142857142857142,,,,8.0,30.0,Yasir Ali Chowdhury
38.0,28.0,4.0,73.68421052631578,7.0,86.0,118.0,10.0,8.232558139534884,11.8,Yasir Arafat
469.0,592.0,24.0,126.22601279317698,24.666666666666668,256.0,271.0,20.0,6.3515625,13.55,Yuvraj Singh
34.0,19.0,3.0,55.88235294117647,6.333333333333333,60.0,77.0,2.0,7.700000000000001,38.5,Z Groenewald
,,,120.0,25.0,84.0,80.0,5.0,5.7142857142857135,16.0,Z Khan
37.0,35.0,5.0,94.5945945945946,7.0,116.0,133.0,7.0,6.879310344827586,19.0,ZB Lion-Cachet
350.0,392.0,20.0,112.00000000000001,19.6,,,,8.0,30.0,ZE Green
40.0,59.0,3.0,147.5,19.666666666666668,240.0,293.0,16.0,7.325000000000001,18.3125,ZGF Foulkes
5.0,2.0,1.0,40.0,2.0,36.0,50.0,1.0,8.333333333333332,50.0,Zaheer Maqsood
1.0,1.0,0.0,100.0,1.0,33.0,30.0,0.0,5.454545454545454,30.0,Zahid Hussain
,,,120.0,25.0,24.0,39.0,3.0,9.75,13.0,Zahid Mahmood
17.0,10.0,2.0,58.82352941176471,5.0,723.0,797.0,42.0,6.614107883817428,18.976190476190474,Zahoor Khan
13.0,10.0,3.0,76.92307692307693,3.3333333333333335,,,,8.0,30.0,Zakir Hasan
1.0,0.0,0.0,0.0,0.0,126.0,162.0,5.0,7.714285714285715,32.4,Zaman Khan
69.0,82.0,6.0,118.84057971014492,13.666666666666666,78.0,112.0,1.0,8.615384615384615,112.0,Zawar Farid
146.0,201.0,10.0,137.67123287671234,20.1,,,,8.0,30.0,Zeeshan Ali
75.0,94.0,6.0,125.33333333333334,15.666666666666666,75.0,122.0,3.0,9.76,40.666666666666664,Ziaur Rahman
11.0,13.0,1.0,118.18181818181819,13.0,54.0,83.0,1.0,9.222222222222221,83.0,Zuhaib Zubair
27.0,27.0,0.0,100.0,27.0,138.0,159.0,11.0,6.913043478260869,14.454545454545455,Zulfiqar Babar
